"FlightId","Altitude","FlightCode","Latitude","Longitude","Speed","Track"
"888134","12375","VJC1832","10.662827","106.51051","310","137"
"780358","475","CXA841","10.836802","106.694593","163","249"
"88809b","1125","","10.844949","106.716373","166","249"
"880c48","8125","AIQ659","10.823959","106.468032","307","273"
"8881f6","375","HVN7215","10.839456","106.701821","142","250"
"4bb0f4","3350","","10.779007","106.550288","244","250"
"8881f5","12200","VJC1152","10.968219","106.600149","369","31"
"7501fd","5125","AXM525","10.80808","106.628193","275","249"
"7c6bb8","37000","JST66","10.524483","107.034784","494","127"
"4b9903","6625","VJC178","10.878525","106.572544","268","39"
"88809d","400","HVN403","10.832977","106.684681","156","249"
"8880c6","5025","HVN224","10.776169","106.506674","275","301"
"800c4a","4400","AIC389","10.776993","106.536318","275","308"
"881b6a","26000","RTAF106","10.861176","106.55114","308","294"
"896304","2300","UAE393","10.790039","106.557154","269","276"
"750530","2475","AXM8913","10.797698","106.602076","272","250"
"888041","400","VJC1285","10.837547","106.696858","156","250"
"4b9910","450","VJC1219","10.830505","106.678241","146","249"
"888053","400","","10.833218","106.685486","153","249"
"4d2190","1500","VAG794","10.811325","106.637279","185","250"
"71bf20","400","KAL477","10.830425","106.677969","149","250"
"888090","375","HVN265","10.832291","106.682787","153","249"
"8852e2","4000","","10.783593","106.56001","252","305"
"888136","4950","VJC3900","10.703384","106.58552","283","144"
"888051","425","PIC6025","10.839661","106.702392","154","250"
"7bb0bf","525","CSN6089","10.837555","106.696662","166","249"
"758511","575","RPC7286","10.839844","106.702912","114","250"
"8881a2","400","BAV1541","10.830099","106.677005","157","249"
"8880a4","550","HVN267","10.838432","106.699267","152","249"
"a026a5","4350","FDX6067","10.78299","106.534945","254","291"
"88814f","350","VJC1311","10.837361","106.705772","150","249"
"872766","925","ANA891","10.84048","106.704471","168","250"
"8a8096","400","VJC269","10.838104","106.698319","145","249"
"4a1921","400","BAV191","10.830518","106.678306","147","249"
"70e028","1075","KHV818","10.844018","106.713771","0","0"
"88819f","3925","BAV272","10.792578","106.514379","266","318"
"71c332","38000","JJA4103","10.855774","107.138293","460","266"
"888098","375","HVN814","10.838516","106.699456","147","249"
"8880f0","400","HVN1834","10.83387","106.687172","157","249"
"888123","10700","","10.47309","106.581742","314","171"
"750514","13175","KXP602","10.588211","106.238503","368","217"
"758722","17100","CEB752","10.692535","106.978897","401","86"
"8881aa","4250","VJC864","10.916656","106.615259","303","39"
"8881ee","400","VJC1637","10.837463","106.69652","142","249"
"88818c","850","HVN219","10.838516","106.699408","163","250"
"888143","14150","VJC822","10.692304","106.979177","327","85"
"8880b3","7900","HVN270","10.931815","106.613111","313","39"
"7814dd","400","CSN367","10.833683","106.686739","161","250"
"888169","400","VJC806","10.83165","106.681129","145","250"
"86d98e","375","ANA833","10.835403","106.691074","154","250"
